,date,neg,neu,pos,compound,isReply,isRetweet,keyWords,lies
0,2023-04-17 14:00:34+00:00,0.0,0.68,0.32,0.971,True,False,['Sports Betting'],"Mason Folz
MASON FOLZ'S MONDAY NHL BEST BET
(NHL) Florida vs. Boston over 6
GOLDEN STATE WARRIORS -1

David Delano 
MONDAY NBA BEST BET: WARRIORS VS KINGS
(NBA) Golden State +1

Michael Briggs 
GOLDEN STATE VS. SACRAMENTO (KINGS ML): BEST BET
NBA BEST GOLDEN STATE UNDER 240"
1,2023-04-17 14:00:01+00:00,0.0,0.914,0.086,0.5106,False,False,['Sports Betting'],"Place a £5 bet on any Leeds v Liverpool Build #YourOdds market and we'll give you a £5 free bet to use on any Build #YourOdds market including football.

@LeePhelps gives his selections for the game...

18+ Terms apply"
2,2023-04-17 13:58:52+00:00,0.105,0.895,0.0,-0.6115,False,False,['Sports Betting'],"Yesterday’s #NBA recap:

✅ Lakers +4.5
🅿️ Giannis O41.5 P+R (void)
✅ Jimmy Butler O30.5 P+R
❌ Kevin Durant O27.5 🤮
✅ Russel Westbrook O12.5 R+A
❌ LAC/PHX O225.5 🤮

3-2-1

The hook on both beats…ya just absolutely hate to see it…"
3,2023-04-17 13:57:41+00:00,0.236,0.764,0.0,-0.5267,True,False,['Sports Betting'],@dick_nixon Bet they have a photo of him holding a football and looking stupid.
4,2023-04-17 13:56:58+00:00,0.0,1.0,0.0,0.0,False,False,['Sports Betting'],"Most bet NBA player props for Monday's playoff slate @BetMGM:

Nets at 76ers:
•Spencer Dinwiddie OVER 16.5 pts
•Joel Embiid OVER 32.5 pts
•James Harden OVER 20.5 pts

Warriors at Kings:
•De’Aaron Fox OVER 27.5 pts
•Malik Monk OVER 15.5 pts
•Steph Curry OVER 29.5 pts"
5,2023-04-17 13:45:31+00:00,0.0,0.712,0.288,0.8979,False,False,['Sports Betting'],I’m dedicated to hitting a lotto bet up until my FanDuel account goes back to even. I did great this year except for football even tho i had 1 monster win this past season
6,2023-04-17 13:33:36+00:00,0.0,1.0,0.0,0.0,True,False,[],"@RetroMariners @grocock_chris First names for Gamble, Davis and Curtis ?"
7,2023-04-17 13:31:38+00:00,0.251,0.749,0.0,-0.7717,False,False,['Sports Betting'],I lost all my money ($35) on the NBA this weekend. I’m now one of the guys who thinks sports gambling is evil
8,2023-04-17 13:30:33+00:00,0.0,0.824,0.176,0.4588,True,False,['Sports Betting'],@ShaneUtdfan99 @lewis_nffc I bet you got laughed at every week if that’s how you head a football.
9,2023-04-17 13:30:19+00:00,0.0,0.885,0.115,0.6166,False,False,['Sports Betting'],"FREE Tip: A Vietnamese V-League prediction

InPlay Betting Tip - Hai Phong v Viettel FC

Live Score: 0-0

INPLAY TIP: OVER 0.5 GOALS

An InPlay football tip, generated by football stats for betting from BetBugler"
10,2023-04-17 13:29:55+00:00,0.0,0.841,0.159,0.1779,True,False,[],@Antman0528 Bet they don't do that to Amazon online.  😂😂😂🤣
11,2023-04-17 13:28:06+00:00,0.0,0.709,0.291,0.5719,False,False,['Sports Betting'],"What a wonderful aspect of football; BET BET BET, BET AGAIN"
12,2023-04-17 13:26:19+00:00,0.0,1.0,0.0,0.0,False,False,['Sports Betting'],I just wanna bet first touchdown scorers on Sunday night football
13,2023-04-17 13:19:32+00:00,0.067,0.795,0.137,0.4404,True,False,['Sports Betting'],And I bet you if he was the one coaching Roma they would probably be 2nd on the table closer to Napoli than lazio currently is and playing beautiful attacking-possessive football rather than struggling with haram-defensive ball
14,2023-04-17 13:05:27+00:00,0.212,0.717,0.072,-0.6486,True,False,['Sports Betting'],"This downward spiral continued when he immersed himself in criminal activities unrelated to football – gambling, smuggling, racketeering – ultimately leading him to join the French Gestapo."
15,2023-04-17 13:04:32+00:00,0.136,0.625,0.239,0.4215,True,False,['Sports Betting'],@DannyMarang Best bet in today's NBA is assume it is a flop and/or malingering.
16,2023-04-17 13:03:36+00:00,0.0,0.888,0.112,0.5267,True,False,['Sports Betting'],@DanSilvs73 Given the choice I would bin him now but football is fickle and IF he came back and scored 25 goals you can bet all would be forgiven
17,2023-04-17 12:59:59+00:00,0.0,0.887,0.113,0.6369,True,False,['Sports Betting'],@talkSPORT @markgoldbridge I bet you Brent Cesare (Mark Goldbridge’s real name) would love to go to Old Trafford one day instead of sitting in his bedroom in from of his webcam talking about football matches..
18,2023-04-17 12:58:25+00:00,0.043,0.841,0.115,0.5719,False,False,['Sports Betting'],"@stephenasmith @FirstTake Stop acting like you are correct about what happened yesterday in the @nba  I bet you didn't have the Suns, Bucks, Warriors, or Lakers winning their games. Don't even come on @espn and lie about it today. Basketball is never one-way traffic. It's game on"
19,2023-04-17 12:55:07+00:00,0.0,1.0,0.0,0.0,True,False,['Sports Betting'],@Isaac__NBA They actually opened +1.5 but got bet immediately and line moved
20,2023-04-17 12:55:03+00:00,0.075,0.782,0.142,0.5809,True,False,['Sports Betting'],"@getnickwright Stop acting like you are correct about what happened yesterday. I bet you didn't have the Suns, Bucks, Warriors, or Lakers winning their games. Don't even come on @FTFonFS1 and lie. It goes for @stephenasmith @FirstTake he will lie today as well. Neither one you played in the NBA"
21,2023-04-17 12:54:37+00:00,0.215,0.785,0.0,-0.8689,True,False,['Sports Betting'],"@OldIrishAle @jacobed25 @barstoolsports i’m unsure if hockey players can hear what the fans are saying, i’d bet they do tho. they’re just the toughest dudes in any sport tho, fighting every game. closest thing the nba has had to a real fight in years was draymond sucker punching poole."
22,2023-04-17 12:49:29+00:00,0.158,0.708,0.133,-0.1531,False,False,['Sports Betting'],@macandcube We all had that one friend that would ruin everything and bite chunks out of the Nerf football.
23,2023-04-17 12:48:11+00:00,0.0,0.747,0.253,0.7964,False,False,['Sports Betting'],"Morning gang. Yesterday:

NBA:  1-5 -4.2u 🤮

MLB:  3-1 +2.2u ✅

Will dial it back on the hardwood a bit. But ready for a better week 💪🏼"
24,2023-04-17 12:44:12+00:00,0.031,0.934,0.035,0.0516,True,False,['Sports Betting'],"@HireVarane @TobyUTD__ This is a clear example as to why football fans should have no say whatsoever in real decisions, took grealish over a year to start flourishing under pep,took Ronaldo a few years under fergie to kick into gear but if social media was around then I bet peopme would say the same"
